true\pred,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,895,6,47,0,0,3,0,1,29,19
automobile,3,938,0,0,0,1,0,0,3,55
bird,10,1,875,27,29,18,5,32,3,0
cat,3,4,18,870,8,79,5,8,4,1
deer,4,1,21,20,789,25,5,133,2,0
dog,1,1,12,73,9,889,1,12,2,0
frog,1,3,67,96,20,40,754,10,9,0
horse,5,0,4,6,7,10,0,967,0,1
ship,26,5,2,1,0,1,0,0,957,8
truck,0,26,0,0,0,0,0,0,5,969
