true\pred,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,902,12,50,0,0,2,1,1,25,7
automobile,3,976,0,0,0,1,0,0,2,18
bird,9,4,888,21,23,12,6,36,1,0
cat,3,7,19,862,8,78,8,11,4,0
deer,3,1,29,18,765,20,7,154,3,0
dog,0,1,21,70,7,883,2,13,3,0
frog,1,8,74,79,13,32,775,9,9,0
horse,3,1,5,4,3,7,0,977,0,0
ship,25,12,2,0,0,2,0,0,955,4
truck,0,90,0,0,0,0,0,1,9,900
