True_Class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,963,1,10,3,1,0,1,0,13,8
automobile,3,969,0,3,0,0,0,0,3,22
bird,17,0,898,13,30,7,32,1,2,0
cat,1,1,8,890,14,40,40,3,2,1
deer,2,1,20,8,919,5,29,15,1,0
dog,2,0,11,60,13,901,6,6,0,1
frog,3,0,7,22,11,3,954,0,0,0
horse,2,0,4,7,21,14,1,949,2,0
ship,23,3,0,0,0,3,1,0,964,6
truck,2,23,0,0,2,0,1,0,3,969
