true\pred,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,875,6,19,0,0,0,0,0,91,9
automobile,3,959,0,0,0,0,0,0,3,35
bird,16,6,833,24,38,12,2,38,31,0
cat,3,8,8,861,12,69,4,10,25,0
deer,8,1,9,19,792,17,1,133,20,0
dog,0,3,13,72,11,873,0,16,12,0
frog,2,10,58,111,37,54,626,14,88,0
horse,2,1,2,4,5,6,0,961,19,0
ship,13,8,0,0,0,0,0,0,978,1
truck,1,41,0,0,0,0,0,0,23,935
